"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","padj.BH"
"LOC106991119",23.3095285313384,-2.05311289789026,0.57927258673175,-3.54429493975177,0.000393664598319271,0.0013566247857883,0.0013566247857883
"LOC105604423",47.7387913452575,-1.39077266915962,0.39244402434032,-3.54387526093038,0.000394291747299049,0.00135856262025631,0.00135856262025631
"SOLD1",270.018382936129,0.65845757864364,0.185809782398591,3.54371858221731,0.000394526120078539,0.00135914669938613,0.00135914669938613
"PKIA",10099.3342469464,0.197387628491677,0.0557050557456539,3.54344189857628,0.000394940323937869,0.00136035000467488,0.00136035000467488
"PFKP",1062.08124478076,0.387295898017452,0.109303788447017,3.54329802763595,0.000395155863664442,0.0013608687393512,0.0013608687393512
"SRL",96.9317653025269,-1.03228442798813,0.291338324638735,-3.54324968837582,0.000395228307615976,0.00136089458008551,0.00136089458008551
"HAT1",1619.98176935803,0.260711380580906,0.0735814377554019,3.54316779521974,0.000395351065655381,0.00136109363099625,0.00136109363099625
"SEMA3D",2657.57463192842,-0.2506068522816,0.070748810517915,-3.54220587522303,0.00039679565540384,0.00136584260095974,0.00136584260095974
"MUS81",289.453608516897,-0.701416032028139,0.198025693471469,-3.54204557869252,0.000397036863980264,0.00136644843514049,0.00136644843514049
"NFATC3",6609.48981552942,0.179694426097392,0.0507384661485406,3.54158175714897,0.000397735578240154,0.00136862837070619,0.00136862837070619
"SHMT2",2117.58664441407,-0.281440193264169,0.0794785843121354,-3.54108211287297,0.000398489542153547,0.00137099767614016,0.00137099767614016
"PDZK1",214.0140443644,0.935294924611904,0.264178205729802,3.54039396258339,0.000399530148123948,0.00137435222982362,0.00137435222982362
"FBXL4",604.429631863458,-0.427717120451274,0.120820939948972,-3.54009098614791,0.00039998910700102,0.00137570519059796,0.00137570519059796
"CMTM7",659.921574686048,0.406366466714678,0.114822571265122,3.53908175228361,0.000401521483926319,0.00138074896901213,0.00138074896901213
"BDKRB2",983.681626539181,0.320735498415396,0.0906520424247088,3.53809456286419,0.000403025694125818,0.00138569424874498,0.00138569424874498
"LOC105603563",202.603988105729,0.686832458708881,0.194127912463699,3.53804071754656,0.00040310789106475,0.00138574950215763,0.00138574950215763
"PPP1R12A",13594.29800127,-0.172114988021962,0.048650618777551,-3.53777592858452,0.00040351232946867,0.00138691231365351,0.00138691231365351
"LOC105606382",376.575794041801,0.572174505636886,0.161806055276424,3.53617486477501,0.000405965879496227,0.00139511659080402,0.00139511659080402
"RAB6B",1654.08655792012,0.288060380135673,0.0814709021478479,3.53574555505621,0.00040662614057144,0.00139715648496722,0.00139715648496722
"LOC101110044",712.639861467839,-0.369509352889805,0.104599824451614,-3.53260012458944,0.000411494371375015,0.00141365181090735,0.00141365181090735
"IL4R",344.005034917364,0.546577984038633,0.15473094349008,3.53244135730145,0.000411741535373635,0.00141426907315029,0.00141426907315029
"MPP2",227.686685835714,-0.728330086661456,0.206240771789087,-3.53145539722031,0.000413279554505484,0.00141931929600408,0.00141931929600408
"LOC101113032",253.393848629109,0.634007255317761,0.179582418755259,3.5304528122088,0.000414849008269713,0.00142447580162217,0.00142447580162217
"LOC105610483",209.64046548266,0.62059683316132,0.175789608459347,3.53033855982926,0.000415028212649253,0.00142485767108089,0.00142485767108089
"DOCK9",4923.6695030338,-0.223882662983412,0.0634246378783816,-3.52990053191495,0.000415715927749393,0.00142698492742281,0.00142698492742281
"RMDN2",724.916143147698,-0.418812621794866,0.118658185195425,-3.52957211594886,0.000416232247225599,0.00142852325136909,0.00142852325136909
"TNFRSF4",31.2047028874279,1.87810933206987,0.532116403635133,3.52950842943318,0.000416332441346702,0.00142863314898665,0.00142863314898665
"LOC101103726",230.576599636929,-0.628037715181452,0.17794232444953,-3.52944538138583,0.000416431653191208,0.00142873964051653,0.00142873964051653
"LOC105611536",59.1687898587837,1.39667956831225,0.395791343669145,3.52882798134104,0.000417404355841946,0.00143160813110046,0.00143160813110046
"HDAC9",2139.59578884784,0.25883078899458,0.0733469015741876,3.52885784456461,0.000417357258078396,0.00143160813110046,0.00143160813110046
"TMEM94",433.285954378557,-0.461240357586728,0.130734503591421,-3.52806906299368,0.000418602925180567,0.00143548402881426,0.00143548402881426
"DPY19L4",5128.67028225247,0.19103295426435,0.0541531118703214,3.52764499890256,0.000419274053932206,0.00143755024119818,0.00143755024119818
"ACTR3B",442.171509976867,-0.546636674401643,0.154966584195903,-3.52744868990986,0.000419585074948442,0.00143838129079332,0.00143838129079332
"SGMS1",3862.91985033708,0.205010922574802,0.058126927391431,3.52695268398143,0.000420371879270528,0.00144084283643984,0.00144084283643984
"LOC101118831",11.3403376533555,3.32989570713569,0.944295978933812,3.52632625937412,0.00042136753302329,0.00144401930041473,0.00144401930041473
"MSH5",206.070586356082,-0.713831720273612,0.202452196711014,-3.52592726515364,0.000422002851214673,0.00144596006377611,0.00144596006377611
"SPATA12",60.5706695727232,-1.48423154864475,0.421039240178474,-3.52516204431587,0.00042322381537129,0.00144990653505325,0.00144990653505325
"COPB1",8041.51289976245,-0.178711024300836,0.0507006262283045,-3.52482873675174,0.000423756661880409,0.0014510203605173,0.0014510203605173
"HR",146.593373985713,-0.811606503904636,0.230253910031913,-3.52483266751973,0.000423750374257954,0.0014510203605173,0.0014510203605173
"POLR3C",836.233112313019,-0.375137524570489,0.106426464924945,-3.52485187622315,0.000423719649435245,0.0014510203605173,0.0014510203605173
"DLX4",1012.79889359403,-0.341234889048359,0.0968296139813293,-3.52407569355958,0.000424962831572601,0.00145474264723214,0.00145474264723214
"RBMS2",6878.2691790123,-0.182429463848378,0.0517667940190982,-3.52406339440443,0.000424982558043288,0.00145474264723214,0.00145474264723214
"CWC15",1029.26713709416,0.316296064942749,0.0897615177577922,3.52373793184097,0.000425504874413544,0.00145629269119879,0.00145629269119879
"LOC105610309",52.6035165226518,-1.37617495803544,0.3905965393289,-3.52326459522632,0.000426265575317326,0.00145865796805191,0.00145865796805191
"GHITM",12644.5130239523,-0.159079325717801,0.0451597116455052,-3.52259392102728,0.000427345592613522,0.00146211497776473,0.00146211497776473
"SEPHS1",2445.79454198676,-0.22520593084212,0.063946567099073,-3.52178296753923,0.000428654920500902,0.001466119028856,0.001466119028856
"LOC101119459",460.1422146741,0.526202599049818,0.149413716488349,3.52178241340279,0.000428655816463098,0.001466119028856,0.001466119028856
"PHF1",684.234798541127,-0.428076774911315,0.121580792407747,-3.52092436999151,0.000430045253751317,0.00147063125613782,0.00147063125613782
"LOC101106246",4129.14824185159,0.195433809801992,0.0555165297149016,3.52028145140949,0.00043108909196567,0.0014739603542556,0.0014739603542556
"CUTC",1175.58418140017,-0.34088965947552,0.0968408231853702,-3.52010286842562,0.000431379457591882,0.00147471254703026,0.00147471254703026
"LOC101112469",149.450233192298,0.839364671230821,0.238471059970411,3.51977582242041,0.00043191168897693,0.00147629120114183,0.00147629120114183
"STAM",6639.99311587612,0.241552388864103,0.0686285850258782,3.51970521864934,0.000432026669278214,0.00147644339226912,0.00147644339226912
"GPS1",2115.96573686408,-0.253470786794737,0.0720292473937447,-3.51899812876219,0.000433179763065071,0.00148014268951437,0.00148014268951437
"BMP4",748.489026227826,-0.384126526031911,0.109200057594896,-3.51764032448518,0.000435402076193193,0.00148749362711192,0.00148749362711192
"ELMOD1",68.4174339783334,1.08538032525775,0.308647981736101,3.51656381860215,0.000437171548706857,0.00149329535039949,0.00149329535039949
"AP1S1",2852.18037271834,-0.220585938222943,0.0627288162560439,-3.51650089047695,0.000437275192217988,0.00149340595308347,0.00149340595308347
"TCF7",262.824777680142,0.760569483238882,0.216408344647328,3.51451088671443,0.000440564613027901,0.00150439498624942,0.00150439498624942
"GPR183",60.8174069160162,-1.39979764393524,0.398416654779535,-3.51340142823553,0.000442408530942807,0.0015104452874613,0.0015104452874613
"KLHL21",761.804396503311,-0.409056205024325,0.116452805453157,-3.51263504071499,0.000443686469541991,0.0015145615989122,0.0015145615989122
"VWF",262.510342393481,-0.662056481403514,0.188517108797461,-3.51191722399485,0.000444886541293346,0.00151841080771065,0.00151841080771065
