"" "SRR21623193" "SRR21623194" "SRR21623195" "SRR21623196" "SRR21623197" "SRR21623198"
"LOC101105734" 49.6078469941149 56.0820773692151 56.0522423192038 53.8640005692288 52.864563296096 43.681896651866
"LOC101105485" 1.80074658894677 1.86291132624176 1.71981458356695 0.171792218789034 1.00579715402931 0.804122830881517
"LOC105606138" 0.862262929942307 0.697765427669715 0.617916276590361 0.579112931424054 0.753455595491043 0.627270448370542
"LOC105606137" 19.862039142758 20.2940340129235 21.0178550762443 24.8279868665009 12.6612747484141 20.2804698506704
"LOC105606136" 4.52459804073234 3.63403463791364 3.93835113946305 2.53525577381301 2.78097475069702 2.43663961899274
"LOC105606135" 5.85390512934165 3.57737898840951 5.0758987684133 4.18495876632499 3.13446527193895 3.17657865746771
"LOC101105230" 0.193488733707511 0 0.0679697127624497 0.295342912352686 0.384256261302178 0.586488570426926
"LOC105606134" 0.193734902579913 0 0.0680561882239795 0.295718666694101 0.0769490273905379 0.587234739091591
"LOC101104976" 0 0 0 0.26601988214199 0.0778737367325702 0
"LOC105606132" 0 0 0 0 0.347597330626223 0.189477218770932
"LOC106992043" 2.95218551360985 1.57630958374303 1.90685012183285 2.32580234668231 2.83686376777499 2.47422409502005
"LOC106992042" 2.42826370178094 1.296563284159 1.56844307860634 1.91304421416925 2.33340800651863 2.0351256830952
"LOC105606130" 0.186612295867416 0 0 0.284846656889171 0 0.242419382839281
"LOC105606129" 0 0 0 0.595986851337343 0 0
"LOC105606131" 0.0456051612542112 0.377436212100195 0.0961224868716045 0.208836363002303 0.108682723322485 0.0592435508825556
"LOC101104218" 0.174728208178785 0 0 0.266706680460773 0 0
"LOC105601936" 9.29258327193322 5.80430402856673 9.79303864951481 10.8389318559278 9.61025573171775 8.8828490955409
"LOC101103959" 4.68760615181372 5.33067118309151 5.01547959433089 5.18888799014183 4.69017476784343 3.16093683820609
"LOC106992041" 0 0 0 0 0 0
"LOC105606125" 0.0851653430804314 0.234947709210021 0 0.259994264006223 0.202959515197862 0.442537396860969
"LOC101103708" 0 0.557143904598829 0 0 0.802147686060515 0
"LOC101103461" 0 0 0 0 0.153702504520871 0
"CYP17A1" 1.05563697350303 1.05163191852065 1.0197812883614 1.25325946786131 1.11809470648574 1.44751400405939
"LOC101102968" 43.9714844748872 39.0407561864549 49.9539198140362 28.2691060566767 27.4448612144227 29.8737922818387
"LOC101102711" 2.16637564644558 1.80294636938848 1.63256961965621 1.51483543997522 1.32673773692527 1.58792209951376
"LOC101102466" 2.75603285409151 3.28760268761441 2.9247708927767 2.59862638002423 3.10791872228312 2.587115853817
"LOC105606123" 2.69265437837513 4.10219072327742 3.72708664059874 3.06723240989131 2.29860087520999 1.46180999184795
"LOC101123541" 9.48303345897747 9.05575697391055 11.6593698656488 7.97979999754669 9.27148233258352 9.63406562890862
"ABTB1" 15.0383605420354 11.0691173950952 18.1172046262939 10.1080289246738 12.0497429395749 9.70425354646088
"LOC101123021" 5.83947856802816 4.33717629568233 4.9705108089602 6.51366160532405 5.35238367512945 4.66818209786084
"LOC105606122" 11.1480674209333 8.74579544043561 11.564881017416 6.70025025731343 7.47203047029053 8.82493072463655
