##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR21623193_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	55419239
Total Bases	7.6 Gbp
Sequences flagged as poor quality	0
Sequence length	92-141
%GC	44
>>END_MODULE
1107	20-24	-0.026194712510758222
1107	25-29	-0.033393847234933105
1107	30-34	-0.02703434053419329
1107	35-39	-0.04122826116400091
1107	40-44	-0.049294155633781145
1107	45-49	-0.0541052979865313
1107	50-54	-0.06513670784055137
1107	55-59	-0.050575565526017385
1107	60-64	-0.05567270000454272
1107	65-69	-0.03449591443915523
1107	70-74	-0.09230873732796852
1107	75-79	-0.0886921016207296
1107	80-84	-0.07335969454774016
1107	85-89	-0.09414510778882601
1107	90-94	-0.09401467891281357
1107	95-99	0.009799718891649434
1107	100-104	-0.11005372018712478
1107	105-109	-0.08190739460999197
1107	110-114	-0.11498081664230142
1107	115-119	-0.08238216387359643
1107	120-124	-0.08078372149978463
1107	125-129	-0.10093162605821249
1107	130-134	-0.11183965729626522
1107	135-139	-0.15840982194965392
1107	140-141	-0.13166773447553481
1108	1	0.015698679652984993
1108	2	0.06275060655519837
1108	3	0.03538156923299596
1108	4	-0.018928242679905338
1108	5	0.06399332076442477
1108	6	0.011233598393374677
1108	7	-0.03479535254651012
1108	8	-0.042343934055672605
1108	9	1.5474810425075702E-4
1108	10-14	0.01747995574326211
1108	15-19	0.02981044538069
1108	20-24	0.03665890342021072
1108	25-29	-0.020735844373973578
1108	30-34	-0.012623507546294377
1108	35-39	-0.01200456514290238
1108	40-44	-0.004268378536679052
1108	45-49	0.004245352315003004
1108	50-54	-0.04121261942501775
1108	55-59	-0.037873541713523196
1108	60-64	0.01809925751506114
1108	65-69	1.2447120865033412E-4
1108	70-74	-0.018187992315610302
1108	75-79	-0.026989234876779733
1108	80-84	-0.036159926142637744
1108	85-89	-0.03405631613445337
1108	90-94	-0.05719226657716092
1108	95-99	-0.0423259509448215
1108	100-104	-0.033896197654804894
1108	105-109	-0.09861210544763566
1108	110-114	-0.0780243400253724
1108	115-119	-0.04133964126474865
1108	120-124	-0.028164418464072583
1108	125-129	-0.03498833482609598
1108	130-134	-0.07975611891044565
1108	135-139	-0.11023191840634183
1108	140-141	-0.026174378176328617
1109	1	0.018918806679586453
1109	2	0.014782802724681687
1109	3	0.03490532572480731
1109	4	-0.04482289952018448
1109	5	0.06493401929457576
1109	6	0.00990155612598187
1109	7	-0.054242500880526734
1109	8	-0.053887979212376536
1109	9	-0.02903983474627836
1109	10-14	-0.057921752510409874
1109	15-19	-0.015532085238909588
1109	20-24	-0.051413262518607894
1109	25-29	-0.056923878663731386
1109	30-34	-0.05075028308076668
1109	35-39	-0.06243540314275009
1109	40-44	-0.05339888983108665
